1,abandon,[?'b?nd?n],v./n.放弃;放纵;沉溺
2,abandoned,[?'b?nd?nd],a.被抛弃的、废置的
3,abandonment,[?'b?nd?nm?nt],n.抛弃;放弃
4,abase,[?'beis],v.降低自己、贬抑、使卑下
5,abash,[?'b??],v.使羞愧、使尴尬
6,abate,[?'beit],v.减轻、减少;废除
7,abbreviate,[?'bri:vieit;?'bri:vi?eit],v.缩短;缩写
8,abbreviation,[??bri:vi'ei??n],n.缩写;缩写词
9,abdicate,['?bdikeit;'?bd??keit],v.退位;辞职、放弃
10,abdomen,['?bd?men;'?bd?m?n],n.腹、下腹(胸部到腿部的部分)
11,abduct,[?b'd?kt],v.绑架、拐走
12,aberrant,[?'ber?nt],a.越轨的;异常的;畸变的
13,abet,[?'bet],v.教唆;鼓励、帮助
14,abeyance,[?'bei?ns],n.中止、搁置
15,abhor,[?b'h?:],v.憎恨、嫌恶
16,abide,[?'baid],vt.容忍、忍受;vi.遵守
17,abiding,[?'baidi?],a.持久的、始终不渝的
18,ability,[?'biliti;?'bil?ti],n.能力、才干
19,abject,['?bd?ekt],a.极可怜的;卑下的
20,abjure,[?b'd?u?],v.发誓放弃;弃绝
21,ablate,[?b'leit],v.切除、摘除
22,ablaze,[?'bleiz],a.着火的、闪耀的
23,ablution,[?b'lu:??n],n.(宗教的)净礼、沐浴
24,abnegate,['?bnigeit;'?bni?geit],v.否认;放弃
25,abnegation,[??bni'gei??n],n.放弃、自我牺牲
26,abnormal,[?b'n?:m?l],a.反常的、异常的;变态的
27,aboard,[?'b?:d;?'b?urd],prep./ad.在(船、飞机、车)上;上(船、飞机、车)
28,abolish,[?'b?li?],v.废止、废除(法律、制度、习俗等)
29,abolition,[??b?'li??n],n.废除、取消
30,abolitionist,[??b?'li??nist],n.废奴主义者
31,abominate,[?'b?mineit;?'b?m?'neit],v.痛恨;厌恶
32,aboriginal,[??b?'rid??n?l],n.原始居民、土著
33,abort,[?'b?:t],n.中止计划(任务)
34,abortion,[?'b?:??n],n.流产、早产;(计划等的)失败、夭折
35,abortive,[?'b?:tiv],a.无结果的、失败的
36,abound,[?'baund],v.充满、富于
37,abound,[?'baund],vi.充满;富于
38,aboveboard,[?'b?v'b?:d;?'b?v'b?urd],a./ad.光明正大的(地)
39,abrade,[?'breid],v.磨损、刮除;擦伤
40,abrasion,[?'brei??n],n.磨(擦)破;表面磨损
41,abrasive,[?'breisiv],a.研磨的
42,abreast,[?'brest],ad.并列地、并排地
43,abridge,[?'brid?],v.删减;缩短
44,abroad,[?'br?:d],ad.到国外、在国外;在传播、在流传
45,abrogate,['?br?ugeit;'?br??geit],v.废止、废除
46,abrogation,[??br?'gei?n],n.废止、废除
47,abrupt,[?'br?pt],a.突然的、意外的、唐突的
48,abruptly,[?'br?ptli],ad.突然地;无礼地;
49,abscess,['?bsis],n.脓肿
50,abscisic acid,[?b'sizik-'?sid],n.[生化]脱落酸
51,abscissa,[?b'sis?],n.横座标
52,abscission,[?b'si??n],n.[医]切除、截去;[植]脱离
53,abscond,[?b'sk?nd],v.潜逃、逃亡
54,absence,"['?bsns;'?bs ?ns,'?bsns]",n.缺少;不在、缺席
55,absent,['?bs?nt],a.缺少的;不在的、缺席的
56,absentee,[??bsn'ti:;??bs?n'ti:],n.缺席者
57,absenteeism,[??bs?n'ti:iz?m],n.旷课、旷工
58,absolute,['?bs?lu:t;'?bs??lu:t],a.绝对的、完全的;无(条件)限制的
59,absolute value,,n.绝对值
60,absolutely,['?bs?lu:tli;'?bs??lu:tli],ad.完全地;绝对地
61,absolve,[?b'z?lv;?b's?lv],v.赦免、免除
62,absorb,[?b's?:b],v.吸收;同化;吸引...的注意
63,absorption,[?b's?:p??n],n.吸收
64,abstain,[?b'stein],v.禁绝、放弃
65,abstemious,[?b'sti:mi?s],a.有节制的、节俭的
66,abstinence,['?bstin?ns;'?bst?n?ns],n.节制;禁欲
67,abstinent,['?bstin?nt;'?bst?n?nt],a.饮食有度的、有节制的、禁欲的
68,abstract,['?bstr?kt;?b'str?kt],n.摘要;a.抽象的
69,abstruse,[?b'stru:s],a.难懂的、深奥的
70,absurd,[?b's?:d],a.荒谬的、可笑的
71,absurdity,[?b's?:diti;?b's?:d?ti],n.荒谬
72,abundance,[?'b?nd?ns],n.丰富、充裕
73,abundant,[?'b?nd?nt],a.丰富的、盛产的
74,abundantly,[?'b?nd?ntli],ad.丰富地
75,abuse,"[?'bju:s,?'bju:z]",v./n.辱骂;粗话;滥用;虐待
76,abusive,[?'bju:siv],a.漫骂的、毁谤的;虐待的
77,abut,[?'b?t],v.接界、毗连
78,abysmal,[?'bizm?l],a.无底的、深不可测的;糟透的、极坏的
79,academic,[??k?'demik],a.学院的、学术的;理论的
80,academician,[??k?d?'mi??n],n.学会会员;院士;学者
81,academy,[?'k?d?mi],n.(高等)专科院校;学术社团、协会、研究院
82,acarpous,[ei'kɑ:p?s],a.不结果实的
83,accede,[?k'si:d],v.同意
84,accelerate,[?k'sel?reit;?k'sel??reit],v.加速;促进
85,accelerated,[?k'sel?reitid;?k'sel??reitid],a.加速的、迅速的
86,accelerating,[?k's?l?reiti?],a.加速的
87,acceleration,[?k?sel?'rei??n],n.加速度
